scientific_name,climate_zone,season,watering_adjustment,sunlight_adjustment,special_notes,
Ocimum tenuiflorum,tropical,summer,Increase watering,Provide afternoon shade,Protect from extreme heat,
Aloe vera,arid,summer,Reduce watering,Full sun exposure,Avoid excess moisture,
Moringa oleifera,tropical,monsoon,Reduce watering,None,Ensure drainage,
Murraya koenigii,subtropical,winter,Reduce watering,Full sun,Protect from frost,
Hibiscus rosa-sinensis,tropical,summer,Increase watering,Partial shade,Encourage flowering,
Rosa indica,temperate,winter,Reduce watering,Full sun,Prune in winter,
Jasminum sambac,tropical,monsoon,Moderate watering,Partial sun,Prevent root rot,
Mentha spicata,temperate,summer,Increase watering,Partial shade,Prevent drying,
Cymbopogon citratus,tropical,summer,Increase watering,Full sun,Harvest regularly,
Withania somnifera,arid,winter,Minimal watering,Full sun,Dormant phase,
Tinospora cordifolia,tropical,monsoon,Moderate watering,Partial shade,Provide support,
Bacopa monnieri,tropical,summer,Increase watering,Partial shade,Keep soil moist,
Ficus religiosa,tropical,summer,Weekly watering,Full sun,Large canopy,
Ficus benghalensis,tropical,summer,Weekly watering,Full sun,Requires space,
Tulipa gesneriana,temperate,winter,Minimal watering,Full sun,Bulb dormancy,
Saraca asoca,tropical,summer,Increase watering frequency,Provide partial shade,Protect young plants from heat stress
Cissampelos pareira,tropical,winter,Low watering,Full sun,Growth slows
Cissampelos pareira,subtropical,summer,Moderate watering,Partial shade,Provide support
Cissampelos pareira,subtropical,monsoon,Low watering,Filtered sunlight,Avoid fungal disease
Cissampelos pareira,subtropical,winter,Low watering,Full sun,Cold slows growth
Cissampelos pareira,temperate,summer,Moderate watering,Partial shade,Grow protected
Cissampelos pareira,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Cissampelos pareira,temperate,winter,Not suitable,Full sun,Cold sensitive
Tribulus terrestris,tropical,summer,Low watering,Full sun,Drought tolerant
Tribulus terrestris,tropical,monsoon,Moderate watering,Full sun,Spreads rapidly
Tribulus terrestris,tropical,winter,Low watering,Full sun,Growth slows
Tribulus terrestris,subtropical,summer,Low watering,Full sun,Avoid waterlogging
Tribulus terrestris,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Tribulus terrestris,subtropical,winter,Low watering,Full sun,Minimal care
Tribulus terrestris,temperate,summer,Moderate watering,Full sun,Seasonal herb
Tribulus terrestris,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Tribulus terrestris,temperate,winter,Not suitable,Full sun,Cold intolerant
Pluchea lanceolata,tropical,summer,Moderate watering,Full sun,Prevent soil drying
Pluchea lanceolata,tropical,monsoon,Low watering,Full sun,Ensure drainage
Pluchea lanceolata,tropical,winter,Low watering,Full sun,Growth slows
Pluchea lanceolata,subtropical,summer,Moderate watering,Full sun,Mulching beneficial
Pluchea lanceolata,subtropical,monsoon,Low watering,Full sun,Prune after rains
Pluchea lanceolata,subtropical,winter,Low watering,Full sun,Cold slows growth
Pluchea lanceolata,temperate,summer,Moderate watering,Full sun,Seasonal growth
Pluchea lanceolata,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Pluchea lanceolata,temperate,winter,Not suitable,Full sun,Cold intolerant
Convolvulus pluricaulis,tropical,summer,Low watering,Full sun,Drought tolerant once established
Convolvulus pluricaulis,tropical,monsoon,Moderate watering,Full sun,Ensure drainage
Convolvulus pluricaulis,tropical,winter,Low watering,Full sun,Growth slows
Convolvulus pluricaulis,subtropical,summer,Low watering,Full sun,Avoid overwatering
Convolvulus pluricaulis,subtropical,monsoon,Moderate watering,Full sun,Spreads well
Convolvulus pluricaulis,subtropical,winter,Low watering,Full sun,Minimal care
Convolvulus pluricaulis,temperate,summer,Moderate watering,Full sun,Seasonal growth
Convolvulus pluricaulis,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Convolvulus pluricaulis,temperate,winter,Not suitable,Full sun,Cold intolerant
Valeriana jatamansi,tropical,summer,Not suitable,Partial shade,Heat stress fatal
Valeriana jatamansi,tropical,monsoon,Not suitable,Filtered sunlight,Humidity harmful
Valeriana jatamansi,tropical,winter,Not suitable,Partial shade,Lowland unsuitable
Valeriana jatamansi,subtropical,summer,Low watering,Partial shade,Cool microclimate needed
Valeriana jatamansi,subtropical,monsoon,Moderate watering,Filtered sunlight,Avoid waterlogging
Valeriana jatamansi,subtropical,winter,Low watering,Partial shade,Cold tolerant
Valeriana jatamansi,temperate,summer,Moderate watering,Partial shade,Native growth season
Valeriana jatamansi,temperate,monsoon,Low watering,Filtered sunlight,Prevent root rot
Valeriana jatamansi,temperate,winter,Minimal watering,Full sun,Dormant period
Cyperus scariosus,tropical,summer,Low watering,Full sun,Drought tolerant sedge
Cyperus scariosus,tropical,monsoon,Moderate watering,Full sun,Rhizome expansion
Cyperus scariosus,tropical,winter,Low watering,Full sun,Growth slows
Cyperus scariosus,subtropical,summer,Low watering,Full sun,Avoid waterlogging
Cyperus scariosus,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Cyperus scariosus,subtropical,winter,Low watering,Full sun,Minimal care
Cyperus scariosus,temperate,summer,Moderate watering,Full sun,Seasonal growth
Cyperus scariosus,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Cyperus scariosus,temperate,winter,Not suitable,Full sun,Cold intolerant
Phyllanthus niruri,tropical,summer,Moderate watering,Full sun,Avoid drought stress
Phyllanthus niruri,tropical,monsoon,Moderate watering,Full sun,Rapid growth
Phyllanthus niruri,tropical,winter,Low watering,Full sun,Life cycle completes
Phyllanthus niruri,subtropical,summer,Moderate watering,Full sun,Short-lived annual
Phyllanthus niruri,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Phyllanthus niruri,subtropical,winter,Low watering,Full sun,Dies back naturally
Phyllanthus niruri,temperate,summer,Moderate watering,Full sun,Seasonal herb
Phyllanthus niruri,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Phyllanthus niruri,temperate,winter,Not suitable,Full sun,Cold sensitive
Asteracantha longifolia,tropical,summer,Moderate watering,Full sun,Prefers moist soil
Asteracantha longifolia,tropical,monsoon,Low watering,Full sun,Avoid stagnation
Asteracantha longifolia,tropical,winter,Low watering,Full sun,Growth slows
Asteracantha longifolia,subtropical,summer,Moderate watering,Full sun,Drainage important
Asteracantha longifolia,subtropical,monsoon,Low watering,Full sun,Spreads vigorously
Asteracantha longifolia,subtropical,winter,Low watering,Full sun,Minimal care
Asteracantha longifolia,temperate,summer,Moderate watering,Full sun,Seasonal growth
Asteracantha longifolia,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Asteracantha longifolia,temperate,winter,Not suitable,Full sun,Cold intolerant
Coleus forskohlii,tropical,summer,Moderate watering,Full sun,Prevent tuber drying
Coleus forskohlii,tropical,monsoon,Low watering,Full sun,Avoid rot
Coleus forskohlii,tropical,winter,Low watering,Full sun,Tubers mature
Coleus forskohlii,subtropical,summer,Moderate watering,Full sun,Mulching helpful
Coleus forskohlii,subtropical,monsoon,Low watering,Full sun,Good drainage required
Coleus forskohlii,subtropical,winter,Low watering,Full sun,Cold slows growth
Coleus forskohlii,temperate,summer,Moderate watering,Full sun,Grow protected
Coleus forskohlii,temperate,monsoon,Low watering,Full sun,Cold rain harmful
Coleus forskohlii,temperate,winter,Not suitable,Full sun,Cold sensitive
Solanum nigrum,tropical,summer,Moderate watering,Full sun,Avoid drought stress
Solanum nigrum,tropical,monsoon,Moderate watering,Full sun,Rapid vegetative growth
Solanum nigrum,tropical,winter,Low watering,Full sun,Growth slows
Solanum nigrum,subtropical,summer,Moderate watering,Full sun,Avoid waterlogging
Solanum nigrum,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Solanum nigrum,subtropical,winter,Low watering,Full sun,Dies back
Solanum nigrum,temperate,summer,Moderate watering,Full sun,Seasonal herb
Solanum nigrum,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Solanum nigrum,temperate,winter,Not suitable,Full sun,Cold intolerant
Fumaria indica,tropical,summer,Low watering,Partial shade,Prefers cooler conditions
Fumaria indica,tropical,monsoon,Moderate watering,Filtered sunlight,Excess rain harmful
Fumaria indica,tropical,winter,Low watering,Full sun,Growth slows
Fumaria indica,subtropical,summer,Low watering,Partial shade,Avoid heat stress
Fumaria indica,subtropical,monsoon,Moderate watering,Filtered sunlight,Short lifecycle
Fumaria indica,subtropical,winter,Low watering,Full sun,Dies back
Fumaria indica,temperate,summer,Moderate watering,Partial shade,Seasonal growth
Fumaria indica,temperate,monsoon,Moderate watering,Filtered sunlight,Ensure warmth
Fumaria indica,temperate,winter,Not suitable,Full sun,Cold sensitive
Viola odorata,tropical,summer,Not suitable,Partial shade,Heat stress fatal
Viola odorata,tropical,monsoon,Not suitable,Filtered sunlight,Humidity harmful
Viola odorata,tropical,winter,Not suitable,Partial shade,Lowland unsuitable
Viola odorata,subtropical,summer,Low watering,Partial shade,Cool microclimate needed
Viola odorata,subtropical,monsoon,Moderate watering,Filtered sunlight,Prevent rot
Viola odorata,subtropical,winter,Low watering,Partial shade,Cold tolerant
Viola odorata,temperate,summer,Moderate watering,Partial shade,Native growth
Viola odorata,temperate,monsoon,Low watering,Filtered sunlight,Avoid waterlogging
Viola odorata,temperate,winter,Minimal watering,Full sun,Dormant phase
Cinnamomum tamala,tropical,summer,Moderate watering,Partial shade,Young plants sensitive
Cinnamomum tamala,tropical,monsoon,Low watering,Filtered sunlight,Drainage essential
Cinnamomum tamala,tropical,winter,Low watering,Full sun,Growth slows
Cinnamomum tamala,subtropical,summer,Moderate watering,Partial shade,Mulching helpful
Cinnamomum tamala,subtropical,monsoon,Low watering,Filtered sunlight,Prune lightly
Cinnamomum tamala,subtropical,winter,Low watering,Full sun,Cold slows growth
Cinnamomum tamala,temperate,summer,Moderate watering,Partial shade,Grow protected
Cinnamomum tamala,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Cinnamomum tamala,temperate,winter,Not suitable,Full sun,Cold sensitive
Piper longum,tropical,summer,Moderate watering,Partial shade,Avoid drying vines
Piper longum,tropical,monsoon,Low watering,Filtered sunlight,Good air circulation
Piper longum,tropical,winter,Low watering,Full sun,Growth slows
Piper longum,subtropical,summer,Moderate watering,Partial shade,Provide trellis
Piper longum,subtropical,monsoon,Low watering,Filtered sunlight,Prevent fungal disease
Piper longum,subtropical,winter,Low watering,Full sun,Cold slows growth
Piper longum,temperate,summer,Moderate watering,Partial shade,Grow protected
Piper longum,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Piper longum,temperate,winter,Not suitable,Full sun,Cold intolerant
Piper chaba,tropical,summer,Moderate watering,Partial shade,Prevent vine drying
Piper chaba,tropical,monsoon,Low watering,Filtered sunlight,Drainage essential
Piper chaba,tropical,winter,Low watering,Full sun,Growth slows
Piper chaba,subtropical,summer,Moderate watering,Partial shade,Provide support
Piper chaba,subtropical,monsoon,Low watering,Filtered sunlight,Improve airflow
Piper chaba,subtropical,winter,Low watering,Full sun,Cold slows growth
Piper chaba,temperate,summer,Moderate watering,Partial shade,Grow protected
Piper chaba,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Piper chaba,temperate,winter,Not suitable,Full sun,Cold intolerant
Mucuna pruriens,tropical,summer,Moderate watering,Full sun,Fast vegetative growth
Mucuna pruriens,tropical,monsoon,Moderate watering,Full sun,Thrives naturally
Mucuna pruriens,tropical,winter,Low watering,Full sun,Lifecycle completes
Mucuna pruriens,subtropical,summer,Moderate watering,Full sun,Provide strong support
Mucuna pruriens,subtropical,monsoon,Moderate watering,Full sun,Prune excess vines
Mucuna pruriens,subtropical,winter,Low watering,Full sun,Dies back
Mucuna pruriens,temperate,summer,Moderate watering,Full sun,Seasonal climber
Mucuna pruriens,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Mucuna pruriens,temperate,winter,Not suitable,Full sun,Cold intolerant
Desmostachya bipinnata,tropical,summer,Low watering,Full sun,Drought tolerant grass
Desmostachya bipinnata,tropical,monsoon,Moderate watering,Full sun,Spreads vigorously
Desmostachya bipinnata,tropical,winter,Low watering,Full sun,Growth slows
Desmostachya bipinnata,subtropical,summer,Low watering,Full sun,Avoid excess irrigation
Desmostachya bipinnata,subtropical,monsoon,Moderate watering,Full sun,Thrives naturally
Desmostachya bipinnata,subtropical,winter,Low watering,Full sun,Minimal care
Desmostachya bipinnata,temperate,summer,Moderate watering,Full sun,Seasonal growth
Desmostachya bipinnata,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Desmostachya bipinnata,temperate,winter,Not suitable,Full sun,Cold intolerant
Saccharum officinarum,tropical,summer,High watering,Full sun,Prevent moisture stress
Saccharum officinarum,tropical,monsoon,Moderate watering,Full sun,Avoid lodging
Saccharum officinarum,tropical,winter,Low watering,Full sun,Maturity phase
Saccharum officinarum,subtropical,summer,High watering,Full sun,Requires irrigation
Saccharum officinarum,subtropical,monsoon,Moderate watering,Full sun,Good drainage needed
Saccharum officinarum,subtropical,winter,Low watering,Full sun,Harvest period
Saccharum officinarum,temperate,summer,Moderate watering,Full sun,Seasonal crop
Saccharum officinarum,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Saccharum officinarum,temperate,winter,Not suitable,Full sun,Cold sensitive
Symphocos racemosa,tropical,summer,Moderate watering,Partial shade,Young plants sensitive
Symphocos racemosa,tropical,monsoon,Low watering,Filtered sunlight,Ensure drainage
Symphocos racemosa,tropical,winter,Low watering,Full sun,Growth slows
Symphocos racemosa,subtropical,summer,Moderate watering,Partial shade,Mulching helpful
Symphocos racemosa,subtropical,monsoon,Low watering,Filtered sunlight,Prune lightly
Symphocos racemosa,subtropical,winter,Low watering,Full sun,Cold slows growth
Symphocos racemosa,temperate,summer,Moderate watering,Partial shade,Grow protected
Symphocos racemosa,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Symphocos racemosa,temperate,winter,Not suitable,Full sun,Cold sensitive
Callicarpa macrophylla,tropical,summer,Moderate watering,Partial shade,Prevent leaf scorch
Callicarpa macrophylla,tropical,monsoon,Low watering,Filtered sunlight,Ensure drainage
Callicarpa macrophylla,tropical,winter,Low watering,Full sun,Growth slows
Callicarpa macrophylla,subtropical,summer,Moderate watering,Partial shade,Mulching beneficial
Callicarpa macrophylla,subtropical,monsoon,Low watering,Filtered sunlight,Improve airflow
Callicarpa macrophylla,subtropical,winter,Low watering,Full sun,Cold slows growth
Callicarpa macrophylla,temperate,summer,Moderate watering,Partial shade,Grow protected
Callicarpa macrophylla,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Callicarpa macrophylla,temperate,winter,Not suitable,Full sun,Cold sensitive
Piper cubeba,tropical,summer,Moderate watering,Partial shade,Prevent vine drying
Piper cubeba,tropical,monsoon,Low watering,Filtered sunlight,Drainage essential
Piper cubeba,tropical,winter,Low watering,Full sun,Growth slows
Piper cubeba,subtropical,summer,Moderate watering,Partial shade,Provide support
Piper cubeba,subtropical,monsoon,Low watering,Filtered sunlight,Prevent fungal disease
Piper cubeba,subtropical,winter,Low watering,Full sun,Cold slows growth
Piper cubeba,temperate,summer,Moderate watering,Partial shade,Grow protected
Piper cubeba,temperate,monsoon,Low watering,Filtered sunlight,Cold rain harmful
Piper cubeba,temperate,winter,Not suitable,Full sun,Cold intolerant
Mucuna monosperma,tropical,summer,Moderate watering,Full sun,Woody climber growth
Mucuna monosperma,tropical,monsoon,Moderate watering,Full sun,Thrives naturally
Mucuna monosperma,tropical,winter,Low watering,Full sun,Growth slows
Mucuna monosperma,subtropical,summer,Moderate watering,Full sun,Provide strong support
Mucuna monosperma,subtropical,monsoon,Moderate watering,Full sun,Prune excess growth
Mucuna monosperma,subtropical,winter,Low watering,Full sun,Cold slows growth
Mucuna monosperma,temperate,summer,Moderate watering,Full sun,Grow protected
Mucuna monosperma,temperate,monsoon,Low watering,Full sun,Cold rain harmful
Mucuna monosperma,temperate,winter,Not suitable,Full sun,Cold intolerant
Epipremnum aureum,tropical,summer,Increase watering frequency,Bright indirect light,Avoid direct sun scorch
Epipremnum aureum,tropical,monsoon,Reduce watering,Bright indirect light,Ensure pot drainage
Epipremnum aureum,tropical,winter,Low watering,Bright indirect light,Growth slows indoors
Epipremnum aureum,subtropical,summer,Moderate watering,Bright indirect light,Protect from heat stress
Epipremnum aureum,subtropical,monsoon,Low watering,Bright indirect light,Watch for root rot
Epipremnum aureum,subtropical,winter,Low watering,Bright indirect light,Minimal care needed
Epipremnum aureum,temperate,summer,Moderate watering,Bright indirect light,Grow indoors only
Epipremnum aureum,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Epipremnum aureum,temperate,winter,Minimal watering,Bright indirect light,Cold sensitive
Dracaena trifasciata,tropical,summer,Low watering,Bright indirect light,Drought tolerant
Dracaena trifasciata,tropical,monsoon,Minimal watering,Bright indirect light,Avoid soggy soil
Dracaena trifasciata,tropical,winter,Very low watering,Bright indirect light,Overwatering harmful
Dracaena trifasciata,subtropical,summer,Low watering,Bright indirect light,Thrives in heat
Dracaena trifasciata,subtropical,monsoon,Minimal watering,Bright indirect light,Ensure drainage
Dracaena trifasciata,subtropical,winter,Very low watering,Bright indirect light,Growth slows
Dracaena trifasciata,temperate,summer,Low watering,Bright indirect light,Indoor cultivation
Dracaena trifasciata,temperate,monsoon,Minimal watering,Bright indirect light,Avoid cold humidity
Dracaena trifasciata,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Dypsis lutescens,tropical,summer,Increase watering,Bright indirect light,High humidity beneficial
Dypsis lutescens,tropical,monsoon,Moderate watering,Bright indirect light,Prevent waterlogging
Dypsis lutescens,tropical,winter,Low watering,Bright indirect light,Growth slows
Dypsis lutescens,subtropical,summer,Moderate watering,Bright indirect light,Mist leaves
Dypsis lutescens,subtropical,monsoon,Low watering,Bright indirect light,Ensure airflow
Dypsis lutescens,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Dypsis lutescens,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Dypsis lutescens,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Dypsis lutescens,temperate,winter,Minimal watering,Bright indirect light,Protect from frost
Spathiphyllum wallisii,tropical,summer,Moderate watering,Low to medium light,High humidity needed
Spathiphyllum wallisii,tropical,monsoon,Reduce watering,Low to medium light,Prevent fungal issues
Spathiphyllum wallisii,tropical,winter,Low watering,Low to medium light,Growth slows
Spathiphyllum wallisii,subtropical,summer,Moderate watering,Low to medium light,Keep soil moist
Spathiphyllum wallisii,subtropical,monsoon,Low watering,Low to medium light,Drain excess water
Spathiphyllum wallisii,subtropical,winter,Low watering,Low to medium light,Protect from cold
Spathiphyllum wallisii,temperate,summer,Moderate watering,Low to medium light,Indoor plant only
Spathiphyllum wallisii,temperate,monsoon,Low watering,Low to medium light,Avoid cold humidity
Spathiphyllum wallisii,temperate,winter,Minimal watering,Low to medium light,Cold sensitive
Chlorophytum comosum,tropical,summer,Moderate watering,Bright indirect light,Fast vegetative growth
Chlorophytum comosum,tropical,monsoon,Reduce watering,Bright indirect light,Ensure drainage
Chlorophytum comosum,tropical,winter,Low watering,Bright indirect light,Growth slows
Chlorophytum comosum,subtropical,summer,Moderate watering,Bright indirect light,Thrives easily
Chlorophytum comosum,subtropical,monsoon,Low watering,Bright indirect light,Prevent root rot
Chlorophytum comosum,subtropical,winter,Low watering,Bright indirect light,Minimal care
Chlorophytum comosum,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Chlorophytum comosum,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Chlorophytum comosum,temperate,winter,Minimal watering,Bright indirect light,Cold sensitive
Ficus elastica,tropical,summer,Moderate watering,Bright indirect light,Large leaves transpire more
Ficus elastica,tropical,monsoon,Reduce watering,Bright indirect light,Avoid soggy soil
Ficus elastica,tropical,winter,Low watering,Bright indirect light,Growth slows
Ficus elastica,subtropical,summer,Moderate watering,Bright indirect light,Rotate plant for balance
Ficus elastica,subtropical,monsoon,Low watering,Bright indirect light,Drainage essential
Ficus elastica,subtropical,winter,Low watering,Bright indirect light,Cold slows growth
Ficus elastica,temperate,summer,Moderate watering,Bright indirect light,Indoor cultivation
Ficus elastica,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Ficus elastica,temperate,winter,Minimal watering,Bright indirect light,Cold sensitive
Zamioculcas zamiifolia,tropical,summer,Low watering,Low to medium light,Drought tolerant
Zamioculcas zamiifolia,tropical,monsoon,Minimal watering,Low to medium light,Root rot risk
Zamioculcas zamiifolia,tropical,winter,Very low watering,Low to medium light,Slow growth
Zamioculcas zamiifolia,subtropical,summer,Low watering,Low to medium light,Thrives indoors
Zamioculcas zamiifolia,subtropical,monsoon,Minimal watering,Low to medium light,Avoid soggy soil
Zamioculcas zamiifolia,subtropical,winter,Very low watering,Low to medium light,Minimal care
Zamioculcas zamiifolia,temperate,summer,Low watering,Low to medium light,Indoor only
Zamioculcas zamiifolia,temperate,monsoon,Minimal watering,Low to medium light,Protect from cold
Zamioculcas zamiifolia,temperate,winter,Minimal watering,Low to medium light,Cold intolerant
Crassula ovata,tropical,summer,Low watering,Bright light,Succulent prefers dry soil
Crassula ovata,tropical,monsoon,Very low watering,Bright light,Avoid rot
Crassula ovata,tropical,winter,Minimal watering,Bright light,Rest period
Crassula ovata,subtropical,summer,Low watering,Bright light,Good airflow required
Crassula ovata,subtropical,monsoon,Very low watering,Bright light,Ensure drainage
Crassula ovata,subtropical,winter,Minimal watering,Bright light,Cold slows growth
Crassula ovata,temperate,summer,Low watering,Bright light,Indoor only
Crassula ovata,temperate,monsoon,Minimal watering,Bright light,Avoid humidity
Crassula ovata,temperate,winter,Minimal watering,Bright light,Cold sensitive
Codiaeum variegatum,tropical,summer,Moderate watering,Bright light,High humidity preferred
Codiaeum variegatum,tropical,monsoon,Reduce watering,Bright light,Prevent fungal disease
Codiaeum variegatum,tropical,winter,Low watering,Bright light,Leaf drop possible
Codiaeum variegatum,subtropical,summer,Moderate watering,Bright light,Mist leaves
Codiaeum variegatum,subtropical,monsoon,Low watering,Bright light,Drainage essential
Codiaeum variegatum,subtropical,winter,Low watering,Bright light,Cold sensitive
Codiaeum variegatum,temperate,summer,Moderate watering,Bright light,Indoor only
Codiaeum variegatum,temperate,monsoon,Low watering,Bright light,Avoid cold humidity
Codiaeum variegatum,temperate,winter,Minimal watering,Bright light,Protect from frost
Anthurium andraeanum,tropical,summer,Moderate watering,Bright indirect light,High humidity essential
Anthurium andraeanum,tropical,monsoon,Reduce watering,Bright indirect light,Avoid waterlogging
Anthurium andraeanum,tropical,winter,Low watering,Bright indirect light,Growth slows
Anthurium andraeanum,subtropical,summer,Moderate watering,Bright indirect light,Mist frequently
Anthurium andraeanum,subtropical,monsoon,Low watering,Bright indirect light,Prevent rot
Anthurium andraeanum,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Anthurium andraeanum,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Anthurium andraeanum,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Anthurium andraeanum,temperate,winter,Minimal watering,Bright indirect light,Protect from cold
Aglaonema commutatum,tropical,summer,Moderate watering,Low to medium light,Heat tolerant
Aglaonema commutatum,tropical,monsoon,Reduce watering,Low to medium light,Avoid soggy soil
Aglaonema commutatum,tropical,winter,Low watering,Low to medium light,Growth slows
Aglaonema commutatum,subtropical,summer,Moderate watering,Low to medium light,Thrives indoors
Aglaonema commutatum,subtropical,monsoon,Low watering,Low to medium light,Ensure drainage
Aglaonema commutatum,subtropical,winter,Low watering,Low to medium light,Cold sensitive
Aglaonema commutatum,temperate,summer,Moderate watering,Low to medium light,Indoor only
Aglaonema commutatum,temperate,monsoon,Low watering,Low to medium light,Avoid cold drafts
Aglaonema commutatum,temperate,winter,Minimal watering,Low to medium light,Protect from frost
Aloe vera,tropical,summer,Low watering,Bright light,Drought tolerant
Aloe vera,tropical,monsoon,Very low watering,Bright light,Root rot risk
Aloe vera,tropical,winter,Minimal watering,Bright light,Rest period
Aloe vera,subtropical,summer,Low watering,Bright light,Thrives outdoors
Aloe vera,subtropical,monsoon,Very low watering,Bright light,Ensure drainage
Aloe vera,subtropical,winter,Minimal watering,Bright light,Cold slows growth
Aloe vera,temperate,summer,Low watering,Bright light,Indoor only
Aloe vera,temperate,monsoon,Minimal watering,Bright light,Avoid humidity
Aloe vera,temperate,winter,Minimal watering,Bright light,Cold sensitive
Ocimum basilicum,tropical,summer,Moderate watering,Full sun,Frequent harvesting encourages growth
Ocimum basilicum,tropical,monsoon,Reduce watering,Full sun,Prevent fungal disease
Ocimum basilicum,tropical,winter,Low watering,Full sun,Growth slows
Ocimum basilicum,subtropical,summer,Moderate watering,Full sun,Pinch flowers
Ocimum basilicum,subtropical,monsoon,Low watering,Full sun,Good airflow needed
Ocimum basilicum,subtropical,winter,Low watering,Full sun,Cold sensitive
Ocimum basilicum,temperate,summer,Moderate watering,Full sun,Seasonal herb
Ocimum basilicum,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Ocimum basilicum,temperate,winter,Not suitable,Full sun,Cold intolerant
Bougainvillea glabra,tropical,summer,Low watering,Full sun,Promotes flowering
Bougainvillea glabra,tropical,monsoon,Minimal watering,Full sun,Excess water reduces blooms
Bougainvillea glabra,tropical,winter,Low watering,Full sun,Dormant phase
Bougainvillea glabra,subtropical,summer,Low watering,Full sun,Thrives in heat
Bougainvillea glabra,subtropical,monsoon,Minimal watering,Full sun,Excellent drainage required
Bougainvillea glabra,subtropical,winter,Low watering,Full sun,Cold slows growth
Bougainvillea glabra,temperate,summer,Moderate watering,Full sun,Grow in protected areas
Bougainvillea glabra,temperate,monsoon,Low watering,Full sun,Avoid cold rain
Bougainvillea glabra,temperate,winter,Not suitable,Full sun,Cold sensitive
Ixora coccinea,tropical,summer,Moderate watering,Full sun to partial shade,Acidic soil required
Ixora coccinea,tropical,monsoon,Reduce watering,Full sun to partial shade,Prevent root rot
Ixora coccinea,tropical,winter,Low watering,Full sun to partial shade,Growth slows
Ixora coccinea,subtropical,summer,Moderate watering,Full sun to partial shade,Mulching beneficial
Ixora coccinea,subtropical,monsoon,Low watering,Full sun to partial shade,Drainage essential
Ixora coccinea,subtropical,winter,Low watering,Full sun to partial shade,Cold sensitive
Ixora coccinea,temperate,summer,Moderate watering,Full sun to partial shade,Grow protected
Ixora coccinea,temperate,monsoon,Low watering,Full sun to partial shade,Avoid cold rain
Ixora coccinea,temperate,winter,Not suitable,Full sun to partial shade,Cold intolerant
Hibiscus rosa-sinensis,tropical,summer,Moderate watering,Full sun,Frequent flowering
Hibiscus rosa-sinensis,tropical,monsoon,Reduce watering,Full sun,Prune after rains
Hibiscus rosa-sinensis,tropical,winter,Low watering,Full sun,Growth slows
Hibiscus rosa-sinensis,subtropical,summer,Moderate watering,Full sun,Mulching helpful
Hibiscus rosa-sinensis,subtropical,monsoon,Low watering,Full sun,Drainage essential
Hibiscus rosa-sinensis,subtropical,winter,Low watering,Full sun,Cold slows growth
Hibiscus rosa-sinensis,temperate,summer,Moderate watering,Full sun,Grow protected
Hibiscus rosa-sinensis,temperate,monsoon,Low watering,Full sun,Avoid cold rain
Hibiscus rosa-sinensis,temperate,winter,Not suitable,Full sun,Cold sensitive
Kalanchoe blossfeldiana,tropical,summer,Low watering,Bright light,Succulent prefers dry soil
Kalanchoe blossfeldiana,tropical,monsoon,Very low watering,Bright light,Avoid rot
Kalanchoe blossfeldiana,tropical,winter,Minimal watering,Bright light,Rest period
Kalanchoe blossfeldiana,subtropical,summer,Low watering,Bright light,Good airflow needed
Kalanchoe blossfeldiana,subtropical,monsoon,Very low watering,Bright light,Drainage essential
Kalanchoe blossfeldiana,subtropical,winter,Minimal watering,Bright light,Cold sensitive
Kalanchoe blossfeldiana,temperate,summer,Low watering,Bright light,Indoor only
